variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,latency_ms_mean,latency_ms_std,fps_mean,fps_std,params_mean,macs_mean,macs_std,flops_approx_mean,flops_approx_std,thop_params_mean,thop_params_std,model_file_size_mb_mean,model_file_size_mb_std,pth_model_size_mb_mean,pth_model_size_mb_std,onnx_model_size_mb_mean,onnx_model_size_mb_std,tensorrt_engine_size_mb_mean,tensorrt_engine_size_mb_std,onnx_max_abs_diff_mean,onnx_max_abs_diff_std,onnx_argmax_match_mean,onnx_argmax_match_std,dataset
baseline_transformer_lite,0.9749559082892416,0.0038235420438586,0.9714891063118988,0.0037650423758619,0.9749583091714652,0.0038490260769556,0.9711539893791498,0.0032187375964548,0.9729908937021982,0.0051799894943898,0.9185951999970712,0.0388069314530626,1090.1727409460498,45.99174498133019,421345.0,1066176.0,0.0,2132352.0,0.0,386721.0,0.0,1.6190452575683594,2.985472839830473e-05,1.6190452575683594,2.985472839830473e-05,1.663193702697754,0.0,,,3.0040740966796874e-06,1.2794883599280108e-06,1.0,0.0,indian_sign_language
full_model,0.9660199882422104,0.0074756798866604,0.9614619871735364,0.0086116254526894,0.9660130154657316,0.0076628014016568,0.9607596323648564,0.0070230886154207,0.9636073533602512,0.0098814030139892,0.5042530000209808,0.0186449773377068,1985.272046591829,72.3670110688348,371236.0,360576.0,0.0,721152.0,0.0,353252.0,0.0,1.4208871841430664,1.450086807917171e-05,1.4208871841430664,1.450086807917171e-05,1.429046630859375,0.0,,,9.1552734375e-06,2.4868783589182467e-06,1.0,0.0,indian_sign_language
baseline_gcn,0.7347826086956522,0.0641212226250114,0.6993473748473749,0.0779074447456845,0.6925894516111907,0.0811263348098769,0.7417990897990899,0.0951414042687468,0.74,0.0630476010645924,0.5943579999729991,0.3769503422770992,2037.51946532865,700.9590114789928,351306.0,436672.0,0.0,873344.0,0.0,351306.0,0.0,1.345440673828125,1.1088899119388508e-05,1.345440673828125,1.1088899119388508e-05,1.3442697525024414,0.0,,,9.238719940185548e-08,5.99760168716255e-08,1.0,0.0,nus_hand_posture
baseline_mlp,0.8434782608695652,0.0774718681791541,0.8268739038739039,0.0954554778620568,0.8186759134585222,0.0985880776897735,0.839515873015873,0.0975725684613773,0.851,0.074111402631444,0.2466237999615259,0.0444779930670661,4151.313939338592,673.0842772384017,166666.0,165888.0,0.0,331776.0,0.0,166666.0,0.0,0.6385040283203125,8.529922399512313e-06,0.6385040283203125,8.529922399512313e-06,0.6373958587646484,0.0,,,8.046627044677736e-08,3.0899705519270485e-08,1.0,0.0,nus_hand_posture
baseline_pointnet,0.6391304347826087,0.2105443480487521,0.5911861471861471,0.2434997740829092,0.5832950624254971,0.2493956676648332,0.6138124098124098,0.2890109310946173,0.653,0.1986391200141603,0.6234330000006594,0.0227619276119317,1605.790755923614,60.583398970854375,36554.0,388544.0,0.0,777088.0,0.0,36554.0,0.0,0.14993896484375,2.4736774958610536e-05,0.14993896484375,2.4736774958610536e-05,0.1397018432617187,0.0,,,0.0004863105714321,0.0001813357287529,1.0,0.0,nus_hand_posture
baseline_svm,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1372990000527352,0.0105735534966422,7315.43593800991,520.822874264209,6366.6,,,,,,,0.0593774795532226,0.0011934772845267,,,,,,,,,,,nus_hand_posture
baseline_transformer_lite,0.8826086956521738,0.0680542427934718,0.8632590742590743,0.0896130533847491,0.8670332807289329,0.0870647416497649,0.8978968253968255,0.0767812434611649,0.877,0.0723360214554269,0.9564329999266192,0.0226438474426818,1046.0167652693046,24.563503889742687,415434.0,1060288.0,0.0,2120576.0,0.0,380810.0,0.0,1.5965232849121094,2.985472839830473e-05,1.5965232849121094,2.985472839830473e-05,1.640641212463379,0.0,,,3.339722752571106e-07,6.783839553983328e-08,1.0,0.0,nus_hand_posture
full_model,0.917391304347826,0.0388881387391268,0.9148600288600288,0.0413659577991146,0.9134606938954766,0.0415676190616177,0.937809523809524,0.0298115775954604,0.917,0.0391471582621268,0.5508968000649475,0.0496956030196021,1826.5845575426097,157.62476345487323,365325.0,354688.0,0.0,709376.0,0.0,347341.0,0.0,1.3983041763305664,1.450086807917171e-05,1.3983041763305664,1.450086807917171e-05,1.406494140625,0.0,,,2.1755695343017578e-07,7.420718430273969e-08,1.0,0.0,nus_hand_posture
baseline_gcn,0.989006674519042,0.0008901283116415,0.9866740502526496,0.0008425147618567,0.9890014219978462,0.0008881757309666,0.986755413297592,0.0007446265521041,0.9867321225310456,0.0008571944637667,0.4250690000480972,0.0112905705068147,2353.8983859444656,63.03658326935308,355932.0,441280.0,0.0,882560.0,0.0,355932.0,0.0,1.363079833984375,1.1088899119388508e-05,1.363079833984375,1.1088899119388508e-05,1.361919403076172,0.0,,,6.198883056640625e-06,4.1842290818176846e-06,1.0,0.0,asl_large_dataset
baseline_mlp,0.9902473498233216,0.0009938762360296,0.9889131125587394,0.0009035978458622,0.9902481929793832,0.0009958777766062,0.988861388734376,0.0008091606610922,0.9890694139390688,0.0009319659001072,0.21627700002864,0.0128606700048083,4636.754178201707,274.60018622356256,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6561431884765625,8.529922399512313e-06,0.6561431884765625,8.529922399512313e-06,0.6550455093383789,0.0,,,1.10626220703125e-05,2.829055209005609e-06,1.0,0.0,asl_large_dataset
